locality,biden,trump,biden_pct,trump_pct,youngkin,mcauliffe,pct_youngkin,pct_mcauliffe,youngkin_overperform,mcauliffe_overperform,biden_overperform,avg_pct_democrat,avg_pct_republican
ACCOMACK COUNTY,7578,9172,44.68,54.07,7878,4948,61.08,38.37,7.009999999999998,-6.310000000000002,6.310000000000002,41.525,57.575
ALBEMARLE COUNTY,42466,20804,65.68,32.18,19141,31919,37.21,62.05,5.030000000000001,-3.6300000000000097,3.6300000000000097,63.865,34.695
ALEXANDRIA CITY,66240,14544,80.28,17.63,14013,43866,24.02,75.2,6.390000000000001,-5.079999999999998,5.079999999999998,77.74000000000001,20.825
ALLEGHANY COUNTY,2243,5859,27.34,71.43,4530,1518,74.52,24.97,3.089999999999989,-2.370000000000001,2.370000000000001,26.155,72.975
AMELIA COUNTY,2411,5390,30.55,68.29,4720,1617,74.19,25.419999999999998,5.8999999999999915,-5.130000000000003,5.130000000000003,27.985,71.24000000000001
AMHERST COUNTY,5672,11041,33.35,64.93,9731,3897,71,28.43,6.069999999999993,-4.920000000000002,4.920000000000002,30.89,67.965
APPOMATTOX COUNTY,2418,6702,26.09,72.31,5971,1438,80.26,19.330000000000002,7.950000000000003,-6.759999999999998,6.759999999999998,22.71,76.285
ARLINGTON COUNTY,105344,22318,80.6,17.08,21548,73013,22.630000000000003,76.66999999999999,5.550000000000004,-3.930000000000007,3.930000000000007,78.63499999999999,19.855
AUGUSTA COUNTY,10840,30714,25.64,72.65,26196,7231,77.93,21.51,5.280000000000001,-4.129999999999999,4.129999999999999,23.575000000000003,75.29
BATH COUNTY,646,1834,25.83,73.33,1539,396,79.04,20.34,5.710000000000008,-5.489999999999998,5.489999999999998,23.085,76.185
BEDFORD COUNTY,12176,35600,25.02,73.15,30912,8001,79.1,20.47,5.949999999999989,-4.550000000000001,4.550000000000001,22.744999999999997,76.125
BLAND COUNTY,532,2903,15.29,83.44,2274,364,85.78,13.729999999999999,2.3400000000000034,-1.5600000000000005,1.5600000000000005,14.509999999999998,84.61
BOTETOURT COUNTY,5700,15099,26.99,71.49,13066,3990,76.3,23.3,4.810000000000002,-3.6899999999999977,3.6899999999999977,25.145,73.895
BRISTOL CITY,2313,5347,29.63,68.5,3773,1342,73.3,26.07,4.799999999999997,-3.5599999999999987,3.5599999999999987,27.85,70.9
BRUNSWICK COUNTY,4552,3357,57.27,42.24,2880,3165,47.339999999999996,52.02,5.099999999999994,-5.25,5.25,54.645,44.79
BUCHANAN COUNTY,1587,8311,15.94,83.5,5083,903,84.72,15.05,1.2199999999999989,-0.8899999999999988,0.8899999999999988,15.495000000000001,84.11
BUCKINGHAM COUNTY,3471,4544,42.71,55.92,3894,2222,63.290000000000006,36.11,7.3700000000000045,-6.600000000000001,6.600000000000001,39.41,59.605000000000004
BUENA VISTA CITY,825,1863,29.72,67.11,1459,481,74.33,24.5,7.219999999999999,-5.219999999999999,5.219999999999999,27.11,70.72
